hedge_set,load_type,product_type,delivery_period,delivery_start,delivery_end_exclusive,price_eur_mwh,market_activity
COARSE_CAL,BASE,YEAR,CAL,2024-01-01,2025-01-01,77.26,5000
COARSE_CAL,PEAK,YEAR,CAL,2024-01-01,2025-01-01,86.6,1400
GRANULAR,BASE,QUARTER,Q2,2024-04-01,2024-07-01,66.23,2200
GRANULAR,PEAK,QUARTER,Q2,2024-04-01,2024-07-01,64.76,616
GRANULAR,BASE,QUARTER,Q3,2024-07-01,2024-10-01,74.74,1600
GRANULAR,PEAK,QUARTER,Q3,2024-07-01,2024-10-01,69.07,448
GRANULAR,BASE,QUARTER,Q4,2024-10-01,2025-01-01,101.39,1400
GRANULAR,PEAK,QUARTER,Q4,2024-10-01,2025-01-01,134.42,392
GRANULAR,BASE,MONTH,M01,2024-01-01,2024-02-01,75.32,900
GRANULAR,PEAK,MONTH,M01,2024-01-01,2024-02-01,88.68,252
GRANULAR,BASE,MONTH,M02,2024-02-01,2024-03-01,60.09,800
GRANULAR,PEAK,MONTH,M02,2024-02-01,2024-03-01,70.59,224
GRANULAR,BASE,MONTH,M03,2024-03-01,2024-04-01,63.45,650
GRANULAR,PEAK,MONTH,M03,2024-03-01,2024-04-01,72.79,182
